"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
11 Mar 2024 00:20:43.016,-507.932004,-7219.232118,-127.861427,-1.150589,0.177193,-7.317560
11 Mar 2024 09:00:00.000,-1073.661656,-5460.496538,-4649.877863,-0.586132,4.839315,-5.556324
11 Mar 2024 15:35:11.139,-427.431231,-7225.238065,-124.921460,-1.152511,0.162169,-7.316836
12 Mar 2024 09:00:00.000,-1044.562577,1525.770955,-6994.960666,0.557770,7.223496,1.525235
12 Mar 2024 16:08:29.730,276.346473,7181.167367,-1.029158,1.166353,-0.075520,7.370838
13 Mar 2024 09:00:00.000,-135.503892,6911.316265,-1995.287005,1.175152,2.028480,7.075279
13 Mar 2024 14:09:23.602,161.353185,7183.660755,-0.660109,1.167611,-0.055949,7.371871
14 Mar 2024 02:00:38.735,99.419248,7184.272845,-0.555038,1.168147,-0.045287,7.372395
14 Mar 2024 09:00:00.000,855.613022,4951.065983,5117.108927,0.761393,-5.407865,5.102047
14 Mar 2024 09:37:52.741,-77.788105,-7240.615078,-111.163894,-1.158647,0.096063,-7.313973
14 Mar 2024 21:29:07.837,-14.904675,-7241.509000,-108.462947,-1.159354,0.083978,-7.313541
15 Mar 2024 09:00:00.000,1087.760351,-2307.357193,6726.813981,-0.308165,-7.065514,-2.331484
15 Mar 2024 15:16:00.463,-95.220520,7182.846213,-0.081111,1.169148,-0.011801,7.373919
16 Mar 2024 05:39:40.186,155.775061,-7241.148190,-101.098626,-1.160678,0.051181,-7.312392
16 Mar 2024 09:00:00.000,370.840464,-7135.457984,1160.075823,-1.111102,-1.263216,-7.215354
17 Mar 2024 00:17:20.958,254.620726,-7239.019733,-96.660844,-1.161045,0.032051,-7.311805
17 Mar 2024 09:00:00.000,-700.233654,-4496.573087,-5642.873543,-0.964434,5.797919,-4.483692
17 Mar 2024 16:22:37.063,-351.532442,7173.166997,0.545854,1.168973,0.032528,7.375666
17 Mar 2024 22:18:14.569,371.399167,-7234.739399,-91.328509,-1.161067,0.009378,-7.311137
18 Mar 2024 09:00:00.000,-1211.321941,2813.363638,-6536.080401,0.053993,6.806184,2.960518
18 Mar 2024 10:09:29.559,434.274929,-7231.604676,-88.389898,-1.160911,-0.002889,-7.310823
19 Mar 2024 01:23:57.384,515.054062,-7226.761847,-84.584851,-1.160524,-0.018663,-7.310429
19 Mar 2024 09:00:00.000,-644.863802,7133.942809,-524.335780,1.121059,0.618526,7.356721
19 Mar 2024 15:47:36.957,-598.528751,7155.460204,1.102245,1.167098,0.075500,7.377035
20 Mar 2024 07:02:04.719,-677.772882,7148.022154,1.213709,1.166133,0.089385,7.377414
20 Mar 2024 09:00:00.000,593.483579,3834.490490,6038.088148,1.220281,-6.262785,3.876198
20 Mar 2024 18:53:19.618,-739.311868,7141.666245,1.465123,1.165276,0.100019,7.377676
21 Mar 2024 09:00:00.000,1382.723377,-3549.320625,6125.008627,0.141051,-6.433930,-3.711137
21 Mar 2024 10:07:47.293,-818.400777,7132.728091,1.561336,1.164015,0.113916,7.377992
22 Mar 2024 01:22:14.952,-897.345780,7122.960802,1.797749,1.162597,0.127668,7.378266
22 Mar 2024 09:00:00.000,899.316217,-7185.715663,-292.109282,-1.185127,0.133869,-7.303097
22 Mar 2024 14:55:06.163,-967.444559,7113.563429,2.000878,1.161181,0.139890,7.378491
23 Mar 2024 09:00:00.000,-532.455606,-3319.257764,-6410.454740,-1.486324,6.501225,-3.211467
23 Mar 2024 10:23:34.701,1069.654825,-7167.903835,-57.138718,-1.152127,-0.127885,-7.308662
23 Mar 2024 23:05:37.631,-1133.555750,7088.564073,2.377479,1.157281,0.168976,7.378932
24 Mar 2024 04:10:26.797,-1159.729701,7084.281719,2.414530,1.156593,0.173579,7.378980
24 Mar 2024 09:00:00.000,-1596.737293,3978.841532,-5785.522026,-0.323736,6.064149,4.301475
24 Mar 2024 15:10:53.159,1220.773862,-7144.021875,-49.435252,-1.148100,-0.157770,-7.308445
25 Mar 2024 05:34:32.342,-1290.509964,7061.445721,1.806060,1.152702,0.197395,7.379173
25 Mar 2024 09:00:00.000,-1140.114831,7015.962942,994.183927,1.330691,-0.825924,7.306374
25 Mar 2024 16:34:58.875,1353.691176,-7120.227381,-42.376920,-1.143893,-0.184313,-7.308335
26 Mar 2024 01:53:48.913,-1394.551331,7041.543783,2.929632,1.149566,0.214726,7.379272
26 Mar 2024 09:00:00.000,566.883916,2545.910877,6700.656705,1.782561,-6.801524,2.464431
26 Mar 2024 13:45:03.512,-1455.226207,7029.242847,2.910296,1.147462,0.225520,7.379292
27 Mar 2024 04:59:30.817,-1532.997862,7012.710064,3.414753,1.144722,0.238820,7.379279
27 Mar 2024 09:00:00.000,1874.086960,-4604.979678,5248.827625,0.420679,-5.512415,-4.939036
27 Mar 2024 18:32:21.703,-1602.025933,6997.286991,3.502099,1.142060,0.250965,7.379263
28 Mar 2024 05:32:48.031,1670.590336,-7052.586138,-25.851460,-1.131547,-0.247099,-7.308501
28 Mar 2024 09:00:00.000,1369.867523,-6897.371994,-1755.306320,-1.516082,1.506662,-7.083646
28 Mar 2024 17:24:02.510,1731.811977,-7037.729121,-22.689696,-1.128781,-0.259175,-7.308594
29 Mar 2024 06:06:05.127,-1782.477701,6953.753638,3.966736,1.134518,0.282480,7.379034
29 Mar 2024 09:00:00.000,-617.401865,-1993.047757,-6914.224299,-2.073725,6.898923,-1.766903
29 Mar 2024 17:57:19.564,-1842.407099,6938.232349,3.963557,1.131751,0.293085,7.378926
30 Mar 2024 06:39:22.173,1923.342198,-6987.437320,-12.592338,-1.119229,-0.297130,-7.309019
